,Class,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23
0,1,3.80105417,3.80105417,6.081686672,1.520421668,0.0,0.760210834,5.321475838,5.321475838,0.760210834,3.80105417,3.80105417,3.80105417,2.280632502,2.280632502,1.520421668,5.321475838,1.520421668,0.760210834,3.040843336,3.80105417,0.086224467,0.077725513,0.075839187
1,1,9.08774231,3.786559296,3.029247437,4.543871155,1.514623718,2.271935578,6.058494874,8.330430451,2.271935578,4.543871155,4.543871155,3.786559296,3.029247437,0.757311859,1.514623718,1.514623718,3.786559296,2.271935578,3.786559296,5.301183014,0.086475694,0.067229138,0.088983309
2,1,6.904969236,4.603312824,3.068875216,1.534437608,0.0,1.534437608,3.83609402,5.370531628,0.0,1.534437608,2.301656412,3.068875216,4.603312824,0.767218804,4.603312824,3.83609402,3.068875216,0.767218804,1.534437608,7.67218804,0.080323526,0.070545955,0.081911715
3,1,13.45485736,0.0,2.374386594,5.540235385,0.791462198,2.374386594,8.706084177,5.540235385,0.791462198,4.748773187,6.331697583,1.582924396,2.374386594,3.165848792,0.0,5.540235385,4.748773187,0.791462198,1.582924396,4.748773187,0.070179431,0.072550565,0.065807806
4,1,7.761967444,0.0,3.104786977,6.209573955,1.552393489,3.880983722,8.538164188,2.328590233,3.104786977,5.433377211,3.880983722,6.985770699,1.552393489,3.104786977,0.0,6.209573955,3.104786977,0.0,3.880983722,2.328590233,0.077630235,0.077711969,0.068461051
5,1,7.215840033,0.0,2.405280011,5.612320026,0.0,8.017600037,4.008800018,4.008800018,1.603520007,4.008800018,8.81936004,4.008800018,3.207040015,0.801760004,1.603520007,2.405280011,3.207040015,0.0,2.405280011,4.810560022,0.060808958,0.076190861,0.061240177
6,1,10.19765985,1.568870746,3.922176865,5.491047611,0.784435373,4.706612238,7.84435373,3.137741492,1.568870746,7.059918357,3.922176865,1.568870746,2.353306119,3.922176865,1.568870746,3.922176865,0.0,0.0,2.353306119,1.568870746,0.074675201,0.073566823,0.067322603
7,1,8.160412892,3.709278587,1.483711435,5.934845739,0.741855717,2.225567152,2.96742287,2.225567152,1.483711435,2.225567152,8.160412892,5.934845739,2.225567152,5.192990022,1.483711435,4.451134304,3.709278587,1.483711435,5.934845739,3.709278587,0.085284104,0.08856817,0.084292009
8,1,9.291842957,2.322960739,1.548640493,6.194561972,1.548640493,3.871601232,7.743202465,5.420241725,0.774320246,2.322960739,6.194561972,3.097280986,1.548640493,6.194561972,0.774320246,2.322960739,3.871601232,0.0,3.097280986,0.774320246,0.083773578,0.071858061,0.070048115
9,1,10.95075664,0.782196903,7.039772128,7.039772128,0.0,1.564393806,7.039772128,2.346590709,1.564393806,3.910984515,5.475378322,3.128787612,1.564393806,3.910984515,0.0,4.693181419,3.910984515,1.564393806,3.128787612,4.693181419,0.075684563,0.073755947,0.068362587
