,Class,AAC1,AAC2,AAC3,AAC4,AAC5,AAC6,AAC7,AAC8,AAC9,AAC10,AAC11,AAC12,AAC13,AAC14,AAC15,AAC16,AAC17,AAC18,AAC19,AAC20
0,1,0.064102564,0.0,0.025641026,0.08974359,0.038461538,0.08974359,0.012820513,0.064102564,0.064102564,0.064102564,0.038461538,0.102564103,0.025641026,0.012820513,0.064102564,0.08974359,0.025641026,0.064102564,0.012820513,0.051282051
1,1,0.12,0.02,0.06,0.08,0.01,0.11,0.03,0.06,0.05,0.06,0.04,0.04,0.02,0.03,0.05,0.02,0.05,0.07,0.03,0.05
2,1,0.113924051,0.0,0.025316456,0.063291139,0.012658228,0.088607595,0.0,0.025316456,0.050632911,0.037974684,0.075949367,0.050632911,0.075949367,0.025316456,0.075949367,0.063291139,0.050632911,0.126582278,0.012658228,0.025316456
3,1,0.178947368,0.010526316,0.073684211,0.115789474,0.042105263,0.073684211,0.010526316,0.063157895,0.021052632,0.084210526,0.031578947,0.031578947,0.0,0.031578947,0.0,0.073684211,0.063157895,0.063157895,0.010526316,0.021052632
4,1,0.106382979,0.021276596,0.085106383,0.117021277,0.042553191,0.031914894,0.042553191,0.074468085,0.095744681,0.053191489,0.021276596,0.042553191,0.0,0.053191489,0.0,0.085106383,0.042553191,0.031914894,0.0,0.053191489
5,1,0.105882353,0.0,0.082352941,0.058823529,0.011764706,0.058823529,0.023529412,0.058823529,0.058823529,0.129411765,0.047058824,0.035294118,0.023529412,0.117647059,0.0,0.035294118,0.047058824,0.070588235,0.0,0.035294118
6,1,0.151162791,0.011627907,0.081395349,0.11627907,0.058139535,0.046511628,0.023255814,0.104651163,0.023255814,0.058139535,0.034883721,0.058139535,0.023255814,0.069767442,0.023255814,0.058139535,0.0,0.023255814,0.0,0.034883721
7,1,0.111111111,0.01010101,0.080808081,0.04040404,0.070707071,0.03030303,0.02020202,0.03030303,0.080808081,0.111111111,0.03030303,0.02020202,0.02020202,0.03030303,0.050505051,0.060606061,0.050505051,0.050505051,0.02020202,0.080808081
8,1,0.134831461,0.02247191,0.08988764,0.112359551,0.08988764,0.078651685,0.011235955,0.033707865,0.04494382,0.08988764,0.02247191,0.02247191,0.011235955,0.056179775,0.033707865,0.033707865,0.056179775,0.011235955,0.0,0.04494382
9,1,0.147368421,0.0,0.094736842,0.094736842,0.052631579,0.031578947,0.021052632,0.052631579,0.042105263,0.073684211,0.021052632,0.094736842,0.0,0.021052632,0.010526316,0.063157895,0.052631579,0.063157895,0.021052632,0.042105263
10,1,0.07037037,0.018518519,0.096296296,0.074074074,0.055555556,0.044444444,0.014814815,0.059259259,0.044444444,0.092592593,0.033333333,0.040740741,0.02962963,0.040740741,0.048148148,0.074074074,0.062962963,0.040740741,0.003703704,0.055555556
11,1,0.126436782,0.011494253,0.045977011,0.114942529,0.057471264,0.068965517,0.034482759,0.034482759,0.022988506,0.034482759,0.034482759,0.045977011,0.034482759,0.034482759,0.022988506,0.057471264,0.08045977,0.08045977,0.022988506,0.034482759
12,1,0.059701493,0.0,0.104477612,0.089552239,0.074626866,0.059701493,0.014925373,0.044776119,0.074626866,0.059701493,0.014925373,0.074626866,0.029850746,0.059701493,0.014925373,0.029850746,0.059701493,0.074626866,0.014925373,0.044776119
13,1,0.133333333,0.0,0.093333333,0.04,0.053333333,0.04,0.013333333,0.013333333,0.04,0.08,0.013333333,0.066666667,0.04,0.026666667,0.026666667,0.093333333,0.053333333,0.093333333,0.013333333,0.066666667
14,1,0.119565217,0.010869565,0.032608696,0.086956522,0.065217391,0.043478261,0.0,0.086956522,0.054347826,0.010869565,0.02173913,0.119565217,0.02173913,0.010869565,0.054347826,0.076086957,0.076086957,0.076086957,0.010869565,0.02173913
15,1,0.102803738,0.009345794,0.028037383,0.08411215,0.018691589,0.037383178,0.009345794,0.093457944,0.056074766,0.08411215,0.028037383,0.093457944,0.028037383,0.018691589,0.056074766,0.074766355,0.065420561,0.056074766,0.018691589,0.037383178
16,1,0.148148148,0.0,0.012345679,0.061728395,0.037037037,0.098765432,0.012345679,0.086419753,0.049382716,0.049382716,0.024691358,0.086419753,0.012345679,0.049382716,0.037037037,0.086419753,0.061728395,0.037037037,0.037037037,0.012345679
17,1,0.088235294,0.029411765,0.029411765,0.102941176,0.014705882,0.058823529,0.014705882,0.088235294,0.088235294,0.044117647,0.029411765,0.044117647,0.0,0.073529412,0.058823529,0.058823529,0.058823529,0.058823529,0.029411765,0.029411765
18,1,0.118181818,0.009090909,0.063636364,0.045454545,0.018181818,0.045454545,0.018181818,0.072727273,0.072727273,0.063636364,0.027272727,0.045454545,0.018181818,0.045454545,0.054545455,0.090909091,0.063636364,0.045454545,0.009090909,0.072727273
19,1,0.042857143,0.0,0.071428571,0.085714286,0.071428571,0.042857143,0.014285714,0.057142857,0.071428571,0.071428571,0.028571429,0.085714286,0.0,0.028571429,0.128571429,0.057142857,0.057142857,0.057142857,0.014285714,0.014285714
20,1,0.108108108,0.0,0.067567568,0.054054054,0.027027027,0.054054054,0.0,0.054054054,0.094594595,0.081081081,0.013513514,0.040540541,0.0,0.027027027,0.067567568,0.040540541,0.135135135,0.040540541,0.013513514,0.081081081
21,1,0.098591549,0.014084507,0.056338028,0.056338028,0.014084507,0.056338028,0.0,0.028169014,0.098591549,0.084507042,0.070422535,0.070422535,0.014084507,0.042253521,0.070422535,0.028169014,0.056338028,0.098591549,0.028169014,0.014084507
22,1,0.134020619,0.020618557,0.041237113,0.051546392,0.020618557,0.092783505,0.020618557,0.06185567,0.06185567,0.020618557,0.051546392,0.030927835,0.06185567,0.041237113,0.072164948,0.041237113,0.020618557,0.103092784,0.030927835,0.020618557
23,1,0.051546392,0.020618557,0.113402062,0.144329897,0.06185567,0.020618557,0.020618557,0.092783505,0.020618557,0.072164948,0.051546392,0.041237113,0.030927835,0.0,0.041237113,0.06185567,0.06185567,0.072164948,0.0,0.020618557
24,1,0.054945055,0.054945055,0.065934066,0.142857143,0.054945055,0.076923077,0.0,0.065934066,0.065934066,0.076923077,0.032967033,0.021978022,0.021978022,0.010989011,0.021978022,0.021978022,0.032967033,0.076923077,0.021978022,0.076923077
25,1,0.152173913,0.02173913,0.032608696,0.076086957,0.032608696,0.130434783,0.010869565,0.032608696,0.032608696,0.076086957,0.02173913,0.032608696,0.043478261,0.043478261,0.032608696,0.054347826,0.010869565,0.097826087,0.02173913,0.043478261
26,1,0.117647059,0.047058824,0.094117647,0.082352941,0.011764706,0.082352941,0.0,0.047058824,0.082352941,0.070588235,0.035294118,0.035294118,0.011764706,0.011764706,0.035294118,0.047058824,0.035294118,0.047058824,0.035294118,0.070588235
27,1,0.16091954,0.011494253,0.022988506,0.057471264,0.022988506,0.137931034,0.011494253,0.034482759,0.0,0.091954023,0.022988506,0.011494253,0.057471264,0.057471264,0.045977011,0.045977011,0.011494253,0.137931034,0.034482759,0.022988506
28,1,0.157894737,0.007518797,0.067669173,0.060150376,0.007518797,0.067669173,0.022556391,0.060150376,0.037593985,0.097744361,0.030075188,0.015037594,0.037593985,0.052631579,0.060150376,0.045112782,0.045112782,0.07518797,0.022556391,0.030075188
29,1,0.129251701,0.013605442,0.06122449,0.020408163,0.020408163,0.088435374,0.034013605,0.040816327,0.020408163,0.081632653,0.040816327,0.013605442,0.074829932,0.054421769,0.102040816,0.027210884,0.047619048,0.088435374,0.020408163,0.020408163
30,1,0.102564103,0.051282051,0.042735043,0.094017094,0.042735043,0.05982906,0.008547009,0.05982906,0.051282051,0.068376068,0.025641026,0.051282051,0.034188034,0.042735043,0.051282051,0.05982906,0.034188034,0.017094017,0.017094017,0.085470085
31,1,0.129411765,0.011764706,0.070588235,0.058823529,0.047058824,0.082352941,0.023529412,0.047058824,0.023529412,0.082352941,0.011764706,0.035294118,0.047058824,0.023529412,0.070588235,0.035294118,0.023529412,0.129411765,0.011764706,0.035294118
32,1,0.067114094,0.020134228,0.080536913,0.100671141,0.013422819,0.073825503,0.046979866,0.067114094,0.093959732,0.073825503,0.053691275,0.060402685,0.040268456,0.006711409,0.013422819,0.060402685,0.026845638,0.060402685,0.0,0.040268456
33,1,0.126315789,0.021052632,0.031578947,0.084210526,0.031578947,0.063157895,0.021052632,0.063157895,0.0,0.105263158,0.021052632,0.021052632,0.052631579,0.073684211,0.084210526,0.052631579,0.052631579,0.073684211,0.021052632,0.0
34,1,0.098484848,0.007575758,0.098484848,0.068181818,0.060606061,0.083333333,0.015151515,0.053030303,0.060606061,0.098484848,0.037878788,0.068181818,0.045454545,0.015151515,0.060606061,0.037878788,0.022727273,0.022727273,0.022727273,0.022727273
35,1,0.061068702,0.015267176,0.152671756,0.099236641,0.06870229,0.038167939,0.022900763,0.053435115,0.038167939,0.083969466,0.022900763,0.030534351,0.061068702,0.007633588,0.061068702,0.030534351,0.06870229,0.053435115,0.015267176,0.015267176
36,1,0.061538462,0.015384615,0.123076923,0.123076923,0.061538462,0.069230769,0.023076923,0.053846154,0.023076923,0.069230769,0.053846154,0.023076923,0.053846154,0.015384615,0.084615385,0.023076923,0.038461538,0.053846154,0.015384615,0.015384615
37,1,0.061068702,0.015267176,0.167938931,0.083969466,0.06870229,0.06870229,0.022900763,0.053435115,0.030534351,0.076335878,0.045801527,0.015267176,0.045801527,0.015267176,0.06870229,0.022900763,0.045801527,0.061068702,0.015267176,0.015267176
38,1,0.115942029,0.007246377,0.057971014,0.101449275,0.079710145,0.036231884,0.02173913,0.079710145,0.094202899,0.072463768,0.02173913,0.050724638,0.014492754,0.043478261,0.050724638,0.057971014,0.043478261,0.028985507,0.007246377,0.014492754
39,1,0.046875,0.015625,0.0,0.046875,0.0625,0.015625,0.03125,0.078125,0.09375,0.0625,0.015625,0.078125,0.046875,0.0,0.125,0.09375,0.140625,0.046875,0.0,0.0
40,1,0.077586207,0.00862069,0.129310345,0.103448276,0.034482759,0.00862069,0.017241379,0.060344828,0.077586207,0.112068966,0.017241379,0.051724138,0.00862069,0.034482759,0.017241379,0.043103448,0.086206897,0.051724138,0.0,0.060344828
41,1,0.056451613,0.016129032,0.120967742,0.120967742,0.024193548,0.016129032,0.016129032,0.064516129,0.072580645,0.080645161,0.032258065,0.064516129,0.008064516,0.016129032,0.008064516,0.056451613,0.080645161,0.080645161,0.0,0.064516129
42,1,0.076923077,0.015384615,0.084615385,0.184615385,0.053846154,0.015384615,0.007692308,0.046153846,0.069230769,0.1,0.015384615,0.038461538,0.015384615,0.038461538,0.023076923,0.030769231,0.092307692,0.030769231,0.0,0.061538462
43,1,0.104,0.016,0.056,0.104,0.048,0.016,0.024,0.048,0.144,0.072,0.024,0.064,0.008,0.016,0.008,0.096,0.032,0.04,0.064,0.016
44,1,0.023255814,0.0,0.081395349,0.127906977,0.058139535,0.058139535,0.023255814,0.081395349,0.069767442,0.046511628,0.023255814,0.127906977,0.0,0.023255814,0.023255814,0.081395349,0.034883721,0.058139535,0.011627907,0.046511628
45,1,0.13,0.02,0.08,0.11,0.01,0.05,0.01,0.07,0.04,0.09,0.02,0.04,0.01,0.05,0.08,0.05,0.01,0.08,0.02,0.03
46,1,0.058823529,0.014705882,0.132352941,0.147058824,0.014705882,0.044117647,0.0,0.044117647,0.029411765,0.102941176,0.058823529,0.014705882,0.0,0.044117647,0.058823529,0.073529412,0.073529412,0.058823529,0.014705882,0.014705882
47,1,0.134615385,0.0,0.038461538,0.211538462,0.057692308,0.038461538,0.0,0.019230769,0.019230769,0.038461538,0.076923077,0.019230769,0.019230769,0.076923077,0.019230769,0.038461538,0.076923077,0.038461538,0.019230769,0.057692308
48,1,0.056451613,0.008064516,0.032258065,0.072580645,0.072580645,0.040322581,0.016129032,0.169354839,0.080645161,0.112903226,0.016129032,0.064516129,0.016129032,0.008064516,0.032258065,0.056451613,0.048387097,0.040322581,0.008064516,0.048387097
49,1,0.061611374,0.0,0.047393365,0.090047393,0.052132701,0.066350711,0.018957346,0.047393365,0.113744076,0.118483412,0.023696682,0.061611374,0.028436019,0.061611374,0.042654028,0.047393365,0.014218009,0.037914692,0.028436019,0.037914692
50,1,0.054621849,0.016806723,0.042016807,0.058823529,0.084033613,0.042016807,0.016806723,0.092436975,0.050420168,0.147058824,0.037815126,0.016806723,0.029411765,0.029411765,0.054621849,0.079831933,0.012605042,0.050420168,0.021008403,0.06302521
51,1,0.063829787,0.025531915,0.038297872,0.046808511,0.10212766,0.055319149,0.017021277,0.046808511,0.042553191,0.14893617,0.042553191,0.029787234,0.017021277,0.034042553,0.038297872,0.05106383,0.025531915,0.059574468,0.025531915,0.089361702
52,1,0.056768559,0.013100437,0.026200873,0.065502183,0.091703057,0.017467249,0.021834061,0.126637555,0.074235808,0.126637555,0.008733624,0.065502183,0.017467249,0.026200873,0.021834061,0.056768559,0.048034934,0.052401747,0.017467249,0.065502183
53,1,0.07079646,0.013274336,0.030973451,0.030973451,0.07079646,0.044247788,0.022123894,0.110619469,0.057522124,0.123893805,0.013274336,0.075221239,0.017699115,0.03539823,0.017699115,0.061946903,0.044247788,0.092920354,0.008849558,0.057522124
54,1,0.054794521,0.01369863,0.03652968,0.0456621,0.082191781,0.054794521,0.00913242,0.123287671,0.068493151,0.118721461,0.02739726,0.0456621,0.02283105,0.01826484,0.02739726,0.073059361,0.054794521,0.059360731,0.01369863,0.050228311
55,1,0.05,0.007142857,0.085714286,0.071428571,0.042857143,0.035714286,0.021428571,0.078571429,0.142857143,0.078571429,0.021428571,0.085714286,0.0,0.014285714,0.071428571,0.071428571,0.014285714,0.021428571,0.007142857,0.078571429
56,1,0.010416667,0.0,0.083333333,0.177083333,0.09375,0.010416667,0.010416667,0.072916667,0.104166667,0.083333333,0.03125,0.052083333,0.020833333,0.03125,0.020833333,0.020833333,0.020833333,0.072916667,0.03125,0.052083333
57,1,0.009708738,0.0,0.077669903,0.145631068,0.048543689,0.009708738,0.009708738,0.087378641,0.097087379,0.097087379,0.029126214,0.087378641,0.019417476,0.029126214,0.019417476,0.019417476,0.067961165,0.038834951,0.038834951,0.067961165
58,1,0.032520325,0.008130081,0.105691057,0.12195122,0.024390244,0.016260163,0.008130081,0.113821138,0.056910569,0.097560976,0.032520325,0.056910569,0.040650407,0.008130081,0.016260163,0.040650407,0.081300813,0.056910569,0.0,0.081300813
59,1,0.007936508,0.0,0.023809524,0.119047619,0.095238095,0.031746032,0.015873016,0.079365079,0.134920635,0.063492063,0.015873016,0.055555556,0.007936508,0.055555556,0.015873016,0.071428571,0.031746032,0.103174603,0.007936508,0.063492063
60,1,0.022222222,0.0,0.022222222,0.144444444,0.066666667,0.022222222,0.0,0.144444444,0.155555556,0.066666667,0.044444444,0.077777778,0.0,0.055555556,0.044444444,0.055555556,0.022222222,0.033333333,0.0,0.022222222
61,1,0.028571429,0.0,0.028571429,0.142857143,0.038095238,0.00952381,0.0,0.123809524,0.152380952,0.104761905,0.00952381,0.104761905,0.0,0.038095238,0.076190476,0.047619048,0.00952381,0.057142857,0.0,0.028571429
62,1,0.017094017,0.0,0.034188034,0.136752137,0.085470085,0.025641026,0.008547009,0.11965812,0.170940171,0.068376068,0.025641026,0.068376068,0.0,0.008547009,0.042735043,0.034188034,0.034188034,0.042735043,0.0,0.076923077
63,1,0.017241379,0.0,0.034482759,0.103448276,0.060344828,0.043103448,0.0,0.163793103,0.189655172,0.051724138,0.034482759,0.077586207,0.017241379,0.017241379,0.043103448,0.034482759,0.00862069,0.025862069,0.0,0.077586207
64,1,0.018691589,0.0,0.056074766,0.093457944,0.074766355,0.018691589,0.028037383,0.130841121,0.093457944,0.093457944,0.028037383,0.037383178,0.028037383,0.056074766,0.046728972,0.065420561,0.018691589,0.065420561,0.009345794,0.037383178
65,1,0.009345794,0.0,0.046728972,0.102803738,0.056074766,0.037383178,0.028037383,0.158878505,0.065420561,0.074766355,0.028037383,0.046728972,0.018691589,0.046728972,0.074766355,0.028037383,0.056074766,0.065420561,0.009345794,0.046728972
66,1,0.0,0.0,0.074074074,0.092592593,0.074074074,0.037037037,0.018518519,0.12037037,0.074074074,0.083333333,0.027777778,0.055555556,0.018518519,0.037037037,0.064814815,0.064814815,0.027777778,0.064814815,0.018518519,0.046296296
67,1,0.009803922,0.0,0.068627451,0.117647059,0.068627451,0.019607843,0.029411765,0.176470588,0.058823529,0.049019608,0.019607843,0.049019608,0.009803922,0.039215686,0.078431373,0.039215686,0.029411765,0.078431373,0.019607843,0.039215686
68,1,0.025210084,0.008403361,0.058823529,0.075630252,0.084033613,0.016806723,0.025210084,0.134453782,0.134453782,0.067226891,0.042016807,0.033613445,0.016806723,0.050420168,0.042016807,0.067226891,0.008403361,0.058823529,0.0,0.050420168
69,1,0.018348624,0.018348624,0.027522936,0.137614679,0.073394495,0.027522936,0.0,0.100917431,0.100917431,0.091743119,0.04587156,0.073394495,0.009174312,0.04587156,0.04587156,0.036697248,0.04587156,0.064220183,0.0,0.036697248
